filename	script_type	library	Shelfmark	Date	Biblical_or_Rabbinic	color_or_grayscale	iiif_manifest	link2img	test/train	
Urb.ebr.5_0011_fa_0009r-8v.xml	Italian	BAV	Urb.ebr.5	13th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Urb.ebr.5/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Urb.ebr.5/Urb.ebr.5_0011_fa_0009r-8v.jp2/full/full/0/default.jpg	train	
Urb.ebr.6_0011_fa_0009r-8v.xml	Italian	BAV	Urb.ebr.6	1292/93	Biblical	color	https://digi.vatlib.it/iiif/MSS_Urb.ebr.6/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Urb.ebr.6/Urb.ebr.6_0011_fa_0009r-8v.jp2/full/full/0/default.jpg	train	
Vat.ebr.9_0011_fa_0003r.xml	Italian	BAV	Vat.ebr.9	1287	Biblical	color	https://digi.vatlib.it/iiif/MSS_Vat.ebr.9/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.9/Vat.ebr.9_0011_fa_0003r.jp2/full/full/0/default.jpg	train	
Vat.ebr.481_0011_fa_0002r.xml	Italian	BAV	Vat.ebr.481	early 15th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Vat.ebr.481/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.481/Vat.ebr.481_0011_fa_0002r.jp2/full/full/0/default.jpg	train	
Vat.ebr.6_0011_fa_0003r.xml	Italian	BAV	Vat.ebr.6	ca. 1400	Biblical	color	https://digi.vatlib.it/iiif/MSS_Vat.ebr.6/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.6/Vat.ebr.6_0011_fa_0003r.jp2/full/full/0/default.jpg	train	
Urb.ebr.5_0012_fa_0010r-9v.xml	Italian	BAV	Urb.ebr.5	13th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Urb.ebr.5/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Urb.ebr.5/Urb.ebr.5_0012_fa_0010r-9v.jp2/full/full/0/default.jpg	train	
Urb.ebr.2_0012_fa_0002v.xml	Italian	BAV	Urb.ebr.2	ca. 1100	Biblical	color	https://digi.vatlib.it/iiif/MSS_Urb.ebr.2/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Urb.ebr.2/Urb.ebr.2_0012_fa_0002v.jp2/full/full/0/default.jpg	train	
Vat.ebr.481_0012_fa_0002v.xml	Italian	BAV	Vat.ebr.481	early 15th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Vat.ebr.481/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.481/Vat.ebr.481_0012_fa_0002v.jp2/full/full/0/default.jpg	test	
Urb.ebr.5_0013_fa_0011r-10v.xml	Italian	BAV	Urb.ebr.5	13th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Urb.ebr.5/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Urb.ebr.5/Urb.ebr.5_0013_fa_0011r-10v.jp2/full/full/0/default.jpg	train	
Vat.ebr.481_0013_fa_0003r.xml	Italian	BAV	Vat.ebr.481	early 15th century	Biblical	color	https://digi.vatlib.it/iiif/MSS_Vat.ebr.481/manifest.json	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.481/Vat.ebr.481_0013_fa_0003r.jp2/full/full/0/default.jpg	train	
